Wavelength,Anabaena,Aphanizomenon,Cylindrospermum-corrrected,Eucapsis,Gleocapsa,Gleotrichia,Lyngbya,Merismopedia,Microcystis,Nostoc,Oscillatoria,Spirulina,Tolypothrix
680.02,4.69,0.055344,0.018724,0.013056,0.023911,0.016396,0.009524,0.012668,0.035716,0.031908,0.024859,0.003618,0.018192,0.014287
685.29,4.69,0.060004,0.022795,0.016452,0.029124,0.016012,0.011502,0.014355,0.038119,0.032133,0.027759,0.004467,0.019774,0.020059
690.57,4.69,0.061654,0.027313,0.020243,0.032682,0.015172,0.014992,0.015372,0.040424,0.030271,0.027993,0.00607,0.020496,0.027234
695.85,4.69,0.061613,0.03057,0.022802,0.034184,0.014314,0.017432,0.016769,0.038559,0.028802,0.029275,0.007104,0.020654,0.03316
701.14,4.69,0.059051,0.031824,0.024109,0.034598,0.013683,0.019658,0.016917,0.036666,0.027313,0.028163,0.007561,0.022399,0.035914
706.43,4.69,0.054338,0.031438,0.024763,0.033609,0.013234,0.021032,0.018014,0.037629,0.025936,0.028294,0.008014,0.021503,0.038291
711.73,4.69,0.048214,0.029899,0.024214,0.03078,0.012495,0.020881,0.018058,0.035458,0.023609,0.027278,0.008841,0.020505,0.037436
717.03,4.69,0.041138,0.028467,0.022277,0.027008,0.011256,0.01876,0.017447,0.032827,0.020635,0.024387,0.007972,0.019604,0.034611
722.34,4.69,0.035088,0.027148,0.019709,0.022769,0.00982,0.01645,0.015141,0.02944,0.019722,0.02075,0.007849,0.018693,0.032433
727.65,4.69,0.032237,0.025389,0.017187,0.019643,0.008377,0.01454,0.014447,0.024697,0.017989,0.017709,0.007455,0.015193,0.029546
732.97,4.69,0.031639,0.023426,0.015655,0.018496,0.007447,0.014331,0.012655,0.020469,0.015913,0.015634,0.006513,0.00977,0.027824
738.29,4.69,0.031713,0.021712,0.01504,0.018034,0.006973,0.013007,0.012355,0.018674,0.01626,0.0157,0.006221,0.006782,0.026201
743.61,4.69,0.032134,0.020481,0.014764,0.017815,0.006664,0.011979,0.011794,0.018296,0.01551,0.014672,0.005475,0.00938,0.026006
748.94,4.69,0.032424,0.019503,0.014679,0.017479,0.00651,0.012265,0.011708,0.018301,0.013659,0.015053,0.006408,0.012544,0.025089
754.28,4.69,0.031874,0.018434,0.014525,0.017226,0.006343,0.012465,0.012371,0.018322,0.013117,0.015442,0.005952,0.014418,0.023164
759.62,4.69,0.030538,0.017294,0.014386,0.01708,0.006168,0.013218,0.01182,0.017585,0.012938,0.015451,0.006236,0.012379,0.022619
764.97,4.69,0.028874,0.016202,0.014232,0.016902,0.006053,0.012099,0.012379,0.017869,0.012286,0.01452,0.005581,0.01089,0.021408
770.32,4.69,0.026806,0.015333,0.014052,0.016362,0.006005,0.011443,0.011351,0.017769,0.011166,0.013213,0.005393,0.010328,0.021122
775.67,4.69,0.024709,0.014852,0.013655,0.015074,0.005842,0.011355,0.0121,0.016749,0.010425,0.012752,0.005488,0.009493,0.020385
781.03,4.69,0.02285,0.014534,0.012763,0.013728,0.005378,0.011255,0.010697,0.016271,0.010231,0.011533,0.005393,0.009393,0.020929
786.4,4.69,0.021647,0.014018,0.011785,0.012617,0.00486,0.010228,0.010321,0.013946,0.010509,0.010601,0.004276,0.00902,0.019157
791.77,4.69,0.020857,0.013254,0.01098,0.011896,0.004444,0.009104,0.009571,0.012631,0.009292,0.009477,0.003993,0.007991,0.017099
797.14,4.69,0.021617,0.012414,0.010476,0.011426,0.004165,0.008541,0.008728,0.012156,0.009193,0.008634,0.003711,0.007799,0.01625
802.52,4.69,0.020833,0.011708,0.010156,0.010971,0.003972,0.009281,0.008446,0.011691,0.008169,0.008817,0.003522,0.007146,0.015966
